Date,Open,High,Low,Close,Volume,Turnover,Index_Name
2019-01-01,6458.25,6480.6,6431.7,6476.55,,,NIFTY SMLCAP 100
2019-01-02,6463.65,6496.2,6396.45,6410.55,,,NIFTY SMLCAP 100
2019-01-03,6415.1,6436.55,6349.0,6357.85,,,NIFTY SMLCAP 100
2019-01-04,6361.65,6387.4,6303.0,6381.65,,,NIFTY SMLCAP 100
2019-01-07,6430.85,6437.95,6372.4,6387.45,,,NIFTY SMLCAP 100
2019-01-08,6389.35,6408.75,6363.5,6403.45,,,NIFTY SMLCAP 100
2019-01-09,6428.15,6433.25,6352.0,6389.25,,,NIFTY SMLCAP 100
2019-01-10,6393.55,6421.8,6382.2,6414.8,,,NIFTY SMLCAP 100
2019-01-11,6427.8,6430.75,6373.0,6396.3,,,NIFTY SMLCAP 100
2019-01-14,6402.65,6405.95,6349.5,6377.7,,,NIFTY SMLCAP 100
2019-01-15,6400.5,6454.35,6399.6,6449.5,,,NIFTY SMLCAP 100
2019-01-16,6464.2,6493.9,6447.85,6455.3,,,NIFTY SMLCAP 100
2019-01-17,6472.25,6485.0,6413.2,6440.25,,,NIFTY SMLCAP 100
2019-01-18,6447.6,6447.85,6363.75,6371.2,,,NIFTY SMLCAP 100
2019-01-21,6367.8,6384.05,6301.1,6312.75,,,NIFTY SMLCAP 100
2019-01-22,6307.4,6307.8,6254.3,6298.55,,,NIFTY SMLCAP 100
2019-01-23,6305.65,6323.7,6272.4,6281.2,,,NIFTY SMLCAP 100
2019-01-24,6287.45,6300.1,6252.85,6257.95,,,NIFTY SMLCAP 100
2019-01-25,6279.45,6299.3,6144.9,6158.1,,,NIFTY SMLCAP 100
2019-01-28,6149.15,6152.7,6035.9,6049.75,,,NIFTY SMLCAP 100
2019-01-29,6033.9,6082.85,6013.65,6060.35,,,NIFTY SMLCAP 100
2019-01-30,6084.35,6108.45,6069.7,6095.8,,,NIFTY SMLCAP 100
2019-01-31,6121.05,6139.95,6084.65,6132.95,,,NIFTY SMLCAP 100
2019-02-01,6158.0,6211.85,6092.3,6138.9,,,NIFTY SMLCAP 100
2019-02-04,6133.55,6134.1,6017.45,6043.75,,,NIFTY SMLCAP 100
2019-02-05,6039.8,6058.6,5934.5,5959.65,,,NIFTY SMLCAP 100
2019-02-06,5977.6,5995.0,5888.65,5987.6,,,NIFTY SMLCAP 100
2019-02-07,5997.95,6052.8,5982.55,6030.1,,,NIFTY SMLCAP 100
2019-02-08,6017.75,6018.1,5920.35,5931.6,,,NIFTY SMLCAP 100
2019-02-11,5921.05,5925.2,5815.75,5824.95,,,NIFTY SMLCAP 100
2019-02-12,5813.95,5837.35,5782.25,5805.6,,,NIFTY SMLCAP 100
2019-02-13,5825.1,5840.6,5744.7,5756.15,,,NIFTY SMLCAP 100
2019-02-14,5744.15,5800.8,5707.25,5793.95,,,NIFTY SMLCAP 100
2019-02-15,5794.95,5795.9,5711.4,5727.3,,,NIFTY SMLCAP 100
2019-02-18,5737.65,5741.15,5660.15,5671.1,,,NIFTY SMLCAP 100
2019-02-19,5675.4,5726.95,5665.25,5685.8,,,NIFTY SMLCAP 100
2019-02-20,5704.8,5754.75,5704.3,5745.8,,,NIFTY SMLCAP 100
2019-02-21,5762.0,5836.6,5747.15,5828.55,,,NIFTY SMLCAP 100
2019-02-22,5837.9,5889.0,5823.55,5879.0,,,NIFTY SMLCAP 100
2019-02-25,5901.05,5928.9,5900.35,5923.45,,,NIFTY SMLCAP 100
2019-02-26,5855.2,5913.35,5785.15,5877.55,,,NIFTY SMLCAP 100
2019-02-27,5902.15,6007.25,5864.1,5889.05,,,NIFTY SMLCAP 100
2019-02-28,5912.9,5943.75,5888.85,5934.35,,,NIFTY SMLCAP 100
2019-03-01,5962.45,6099.25,5961.45,6094.6,,,NIFTY SMLCAP 100
2019-03-05,6103.0,6345.0,6100.55,6334.7,,,NIFTY SMLCAP 100
2019-03-06,6378.15,6423.15,6359.6,6380.75,,,NIFTY SMLCAP 100
2019-03-07,6392.1,6396.7,6344.05,6358.75,,,NIFTY SMLCAP 100
2019-03-08,6358.8,6393.9,6329.75,6350.0,,,NIFTY SMLCAP 100
2019-03-11,6371.95,6506.65,6369.1,6501.1,,,NIFTY SMLCAP 100
2019-03-12,6549.35,6614.45,6548.0,6585.45,,,NIFTY SMLCAP 100
2019-03-13,6603.4,6614.0,6539.9,6571.45,,,NIFTY SMLCAP 100
2019-03-14,6593.6,6607.0,6534.7,6568.5,,,NIFTY SMLCAP 100
2019-03-15,6590.95,6621.5,6513.35,6535.65,,,NIFTY SMLCAP 100
2019-03-18,6561.55,6586.3,6518.25,6545.25,,,NIFTY SMLCAP 100
2019-03-19,6570.4,6626.8,6557.65,6610.75,,,NIFTY SMLCAP 100
2019-03-20,6623.35,6630.95,6579.8,6590.75,,,NIFTY SMLCAP 100
2019-03-22,6608.8,6625.15,6533.8,6541.1,,,NIFTY SMLCAP 100
2019-03-25,6487.35,6487.35,6418.3,6436.25,,,NIFTY SMLCAP 100
2019-03-26,6461.45,6517.65,6459.75,6510.75,,,NIFTY SMLCAP 100
2019-03-27,6544.75,6597.25,6543.6,6591.75,,,NIFTY SMLCAP 100
2019-03-28,6611.3,6661.05,6609.1,6653.65,,,NIFTY SMLCAP 100
2019-03-29,6687.15,6710.9,6662.3,6672.55,,,NIFTY SMLCAP 100
2019-04-01,6717.55,6783.25,6716.1,6737.85,,,NIFTY SMLCAP 100
2019-04-02,6762.45,6765.15,6681.35,6723.65,,,NIFTY SMLCAP 100
